,order_id,id,edu_order_no,item_name,item_spec_desc,item_bn,item_fee,price,num,store_name
0,MP407800000145920876,102,,iPhone 14,午夜色 128 GB,MPU93CH/A,5999,5999,1,尚派正品乌鲁木齐汇嘉时代广场店
1,MP407800100098290011,104,,iPhone 14 Pro Max,金色 256 GB,MQ893CH/A,9899,9899,1,品丰台州椒江宝龙城店
2,MP407803000045674243,113,,iPhone 14 Pro,金色 256 GB,MQ143CH/A,8899,8899,1,中恒北京华联同成街购物中心店
3,MP407803400008359633,114,,iPhone 14,星光色 256 GB,MPW13CH/A,6899,6899,1,尚派正品广州荔胜广百广场店
4,MP407803400039700050,115,62B70FF3-4259-407A-A9D9-74AF8D1BCF6C,Apple Watch Series 8（GPS）铝金属表壳 - 学生限时专享,午夜色铝金属表壳+午夜色运动表带 41毫米 GPS,MNP53CH/A,2699,2699,1,神汇上海大宁久光店
5,MP407803800049234010,116,,采用闪电接头的 EarPods,,MMTN2FE/A,149,149,1,酷动深圳九方购物中心店
0,MP407800000145920876,102,,iPhone 14,午夜色 128 GB,MPU93CH/A,5999,5999,1,尚派正品乌鲁木齐汇嘉时代广场店
1,MP407800100098290011,104,,iPhone 14 Pro Max,金色 256 GB,MQ893CH/A,9899,9899,1,品丰台州椒江宝龙城店
2,MP407803000045674243,113,,iPhone 14 Pro,金色 256 GB,MQ143CH/A,8899,8899,1,中恒北京华联同成街购物中心店
3,MP407803400008359633,114,,iPhone 14,星光色 256 GB,MPW13CH/A,6899,6899,1,尚派正品广州荔胜广百广场店
4,MP407803400039700050,115,62B70FF3-4259-407A-A9D9-74AF8D1BCF6C,Apple Watch Series 8（GPS）铝金属表壳 - 学生限时专享,午夜色铝金属表壳+午夜色运动表带 41毫米 GPS,MNP53CH/A,2699,2699,1,神汇上海大宁久光店
5,MP407803800049234010,116,,采用闪电接头的 EarPods,,MMTN2FE/A,149,149,1,酷动深圳九方购物中心店
0,MP407800000145920876,102,,iPhone 14,午夜色 128 GB,MPU93CH/A,5999,5999,1,尚派正品乌鲁木齐汇嘉时代广场店
1,MP407800100098290011,104,,iPhone 14 Pro Max,金色 256 GB,MQ893CH/A,9899,9899,1,品丰台州椒江宝龙城店
2,MP407803000045674243,113,,iPhone 14 Pro,金色 256 GB,MQ143CH/A,8899,8899,1,中恒北京华联同成街购物中心店
3,MP407803400008359633,114,,iPhone 14,星光色 256 GB,MPW13CH/A,6899,6899,1,尚派正品广州荔胜广百广场店
4,MP407803400039700050,115,62B70FF3-4259-407A-A9D9-74AF8D1BCF6C,Apple Watch Series 8（GPS）铝金属表壳 - 学生限时专享,午夜色铝金属表壳+午夜色运动表带 41毫米 GPS,MNP53CH/A,2699,2699,1,神汇上海大宁久光店
5,MP407803800049234010,116,,采用闪电接头的 EarPods,,MMTN2FE/A,149,149,1,酷动深圳九方购物中心店
